"Plotname","easting","northing","richness","altitude","TCI"
"AC001",221.1035,3190.7886,21,0.7784,1.26
"AC002",221.4035,3192.1886,19,0.4473,1.14
"AC003",221.8035,3192.6886,25,0.2921,1.28
"AC005",222.1035,3192.8886,21,0.061,1.48
"AC006",222.0035,3192.6886,23,0.1424,1.78
"AC007",222.4035,3192.9886,22,0.1211,1.86
"AC008",219.0035,3190.6886,24,0.825,1.14
"AC009",219.0035,3190.8886,27,0.8161,1.36
"AC010",219.3035,3190.7886,46,0.7467,1.41
"AC011",219.4035,3190.7886,14,0.7276,1.75
"AC012",219.1035,3190.1886,20,0.9276,1.13
"AC013",219.0035,3191.1886,10,0.7433,1.17
"AC014",218.9035,3191.3886,15,0.753,1.26
"AC015",218.2035,3191.6886,12,0.7207,1.63
"AC016",219.1035,3191.7886,14,0.647,1.13
"AC017",219.1035,3192.0886,12,0.5719,1.57
"AC018",226.7035,3180.5886,6,1.2733,1.07
"AC019",225.7035,3181.0886,17,1.4983,1.25
"AC020",223.0035,3183.6886,5,2.1856,1.16
"AC021",217.7035,3185.1886,4,2.1724,1.03
"AC022",225.8035,3189.5886,19,0.8081,1.13
"AC023",225.5035,3189.0886,25,0.8082,1.4
"AC024",225.5035,3188.8886,21,0.7448,1.29
"AC027",208.9035,3182.9886,12,0.4767,1.14
"AC029",208.4035,3182.7886,13,0.3451,1.21
"AC030",228.8035,3184.6886,28,0.671,1.7
"AC031",228.8035,3184.8886,21,0.538,1.4
"AC032",228.9035,3184.7886,18,0.6727,1.56
"CA002",222.7035,3168.3886,5,1.481,1.02
"CA003",222.0035,3165.9886,4,1.684,1.07
"CA004",222.5035,3165.6886,4,1.836,1.03
"CA007",222.3035,3164.3886,10,1.8242,1.13
"CA009",222.2035,3163.9886,3,1.8481,1.09
"CA010",222.2035,3163.6886,2,1.8776,1.17
"CA011",222.2035,3163.5886,3,1.8603,1.12
"CA013",222.6035,3162.5886,3,1.8269,1.02
"CA014",222.2035,3161.7886,3,1.6773,1.08
"CA015",222.2035,3161.2886,5,1.6167,1.02
"CA016",222.2035,3160.3886,2,1.5687,1.14
"CA018",221.8035,3159.7886,2,1.4496,1.06
"CA019",221.8035,3159.6886,3,1.4296,1.02
"CA020",222.2035,3158.8886,1,1.2596,1.11
"CA021",222.4035,3158.4886,1,1.2134,1
"CA022",222.6035,3157.9886,6,1.1641,1.13
"CA023",221.8035,3156.4886,1,0.879,1.06
"CA024",221.6035,3156.2886,16,0.8426,1.06
"CA025",221.5035,3156.0886,9,0.8069,1.03
"CA026",212.1035,3190.3886,21,0.5816,1.1
"CA027",212.2035,3190.4886,14,0.6035,1.11
"CA028",212.1035,3190.1886,10,0.6512,1.15
"CA029",212.3035,3190.0886,8,0.6694,1.17
"CA030",213.1035,3189.8886,9,0.818,1.08
"CA031",213.9035,3189.6886,27,0.9266,1.13
"CA032",215.0035,3189.3886,27,1.0503,1.09
"CA033",216.4035,3190.3886,15,0.986,1.01
"CA034",216.4035,3190.6886,15,0.9589,1
"CA035",217.1035,3191.6886,38,0.8129,1.06
"CA036",217.2035,3191.6886,17,0.7972,1.06
"CA037",217.5035,3191.6886,22,0.7507,1.54
"CA038",217.4035,3191.4886,17,0.8218,1.16
"CA039",217.3035,3191.0886,10,0.8907,1.22
"CA040",217.4035,3190.9886,15,0.898,1.28
"CA041",217.7035,3191.8886,13,0.6973,1.73
"CA042",217.5035,3191.7886,12,0.7752,1.14
"CA043",224.4035,3159.5886,37,0.7577,1.09
"CA044",225.4035,3161.1886,36,0.643,1.08
"CA045",226.6035,3161.8886,24,0.5761,1.05
"CA046",227.5035,3163.1886,20,0.4598,1.09
"CA047",227.0035,3161.7886,16,0.4854,1.07
"CA048",227.2035,3161.5886,18,0.4277,1.08
"CA049",227.9035,3163.6886,15,0.4775,1.11
"CA051",225.2035,3161.1886,17,0.6577,1.03
"CA052",224.2035,3158.6886,13,0.7716,1.06
"CA053",222.4035,3155.9886,6,0.7275,1.05
"CA054",221.7035,3155.2886,4,0.7065,1.03
"CA055",220.6035,3155.7886,9,0.6382,1.15
"CX100",218.2035,3172.0886,18,0.6236,1.02
"CX101",218.4035,3172.0886,21,0.6455,1.02
"CX102",219.0035,3170.2886,30,0.7063,1.01
"CX103",219.1035,3169.9886,30,0.7242,1.02
"CX104",218.7035,3168.4886,26,0.6692,1.06
"CX105",218.4035,3166.3886,30,0.5968,1.05
"CX106",218.4035,3165.9886,29,0.6147,1.03
"CX108",218.9035,3163.0886,29,0.6591,1.22
"CX109",219.3035,3162.2886,19,0.7173,1.09
"CX110",219.4035,3161.9886,19,0.7072,1.09
"CX111",219.5035,3161.4886,16,0.7227,1.05
"CX112",219.4035,3161.0886,23,0.7085,1.11
"CX114",219.6035,3160.0886,18,0.7695,1.12
"CX116",219.8035,3159.6886,30,0.8225,1.06
"CX117",219.6035,3159.7886,43,0.759,1.09
"CX118",219.9035,3158.4886,49,0.7474,1.07
"CX121",220.2035,3157.4886,47,0.7161,1.15
"CX123",220.6035,3155.8886,16,0.6542,1.16
"CX124",221.1035,3155.6886,16,0.7472,1.01
"CX125",221.3035,3155.8886,24,0.7718,1.04
"CX126",221.2035,3156.5886,17,0.8515,1.18
"CX127",221.5035,3156.1886,27,0.8111,1.09
"CX128",221.3035,3155.5886,26,0.7791,1.04
"CX129",221.2035,3155.3886,10,0.7344,1.07
"CX130",221.2035,3154.5886,18,0.6327,1.02
